4.05108700e-03,1.13179135e-03,1.10000000e+01,3.09000928e-01,2.98765320e-03
2.85150441e-03,1.24068674e-03,1.30000000e+01,3.20809249e-01,3.46084011e-03
1.38560452e-03,7.56912599e-04,7.00000000e+00,2.88895315e-01,1.05654162e-03
1.90591391e-03,9.21004035e-04,9.00000000e+00,3.00451128e-01,1.65525606e-03
2.83807741e-03,1.09651370e-03,1.10000000e+01,3.07763401e-01,2.36998694e-03
4.35437048e-03,1.41168893e-03,1.50000000e+01,3.27219129e-01,4.41532988e-03
2.46917970e-03,1.25544233e-03,1.30000000e+01,3.13953488e-01,3.13388380e-03
1.77753732e-03,9.86707240e-04,1.00000000e+01,3.10152127e-01,1.77401460e-03
8.46423325e-04,7.51493264e-04,7.00000000e+00,2.93478261e-01,1.06386136e-03
1.90323009e-03,9.05340312e-04,9.00000000e+00,3.04294852e-01,1.62813808e-03
7.71654380e-04,7.37590069e-04,7.00000000e+00,2.97321429e-01,9.86465014e-04
8.64504793e-04,8.15068450e-04,8.00000000e+00,3.04202192e-01,1.16170495e-03
2.58878809e-04,5.35062357e-04,4.00000000e+00,2.63241107e-01,3.38813096e-04
2.09375193e-03,1.06813639e-03,1.10000000e+01,3.15340909e-01,2.30141815e-03
3.11389558e-03,1.08923974e-03,1.10000000e+01,3.12676056e-01,2.71720342e-03
7.21265333e-03,1.52036397e-03,1.60000000e+01,3.31783461e-01,5.42782915e-03
4.45363889e-03,1.32566652e-03,1.40000000e+01,3.23615160e-01,3.59760070e-03
3.06645528e-04,4.96279796e-04,4.00000000e+00,2.76884701e-01,3.28903931e-04
1.10002682e-03,7.76704961e-04,7.00000000e+00,2.83565143e-01,8.96499505e-04
3.05344643e-03,1.24327424e-03,1.30000000e+01,3.23091850e-01,3.56452389e-03
1.41114938e-03,8.12727289e-04,8.00000000e+00,3.05131338e-01,1.20653144e-03
6.47643429e-03,1.57874011e-03,1.70000000e+01,3.36703741e-01,5.40278642e-03
1.24363244e-03,8.25033917e-04,8.00000000e+00,3.01175761e-01,1.12934261e-03
2.87900902e-03,1.13914754e-03,1.20000000e+01,3.21842784e-01,2.72583635e-03
1.86588297e-03,9.75815545e-04,1.00000000e+01,3.08619092e-01,1.68308550e-03
1.61161618e-03,8.26108927e-04,8.00000000e+00,3.04294852e-01,1.54345073e-03
4.30910924e-03,1.39949271e-03,1.50000000e+01,3.29268293e-01,4.30013661e-03
6.00245967e-04,6.79167014e-04,6.00000000e+00,2.84372331e-01,7.14818881e-04
1.66450495e-03,8.47708782e-04,8.00000000e+00,2.92790152e-01,1.32309700e-03
1.02929045e-03,7.36948549e-04,7.00000000e+00,2.98565451e-01,1.14251322e-03
7.48876131e-04,6.57646251e-04,6.00000000e+00,2.93478261e-01,7.26965422e-04
1.92567770e-03,9.12975665e-04,9.00000000e+00,3.04573171e-01,1.66423422e-03
2.53792523e-03,9.96232597e-04,1.00000000e+01,3.11506080e-01,2.08189049e-03
2.69263786e-03,1.09734290e-03,1.10000000e+01,3.07195572e-01,2.29985670e-03
3.76324569e-03,1.24063906e-03,1.30000000e+01,3.21325185e-01,3.29471691e-03
