,Erdos,Scalefree,
0,0.28,0.255,
1,0.305,0.2001,
2,0.305,0.2001,
3,0.272651202,0.181580578,
4,0.272651202,0.181580578,
5,0.272651202,0.181580578,
6,0.272651202,0.181580578,
7,0.272651202,0.181580578,
8,0.272651202,0.181580578,
9,0.272651202,0.181580578,
10,0.272651202,0.181580578,
11,0.272651202,0.181580578,
12,0.272651202,0.181580578,
13,0.258932085,0.172020483,
14,0.258932085,0.172020483,
15,0.258932085,0.172020483,
16,0.258932085,0.172020483,
17,0.258932085,0.172020483,
18,0.258932085,0.172020483,
19,0.258932085,0.172020483,
20,0.196667286,0.146774584,*
21,0.196667286,0.146774584,
22,0.196667286,0.146774584,
23,0.196667286,0.146774584,
24,0.196667286,0.146774584,
25,0.196667286,0.146774584,
26,0.250005182,0.136220153,
27,0.250005182,0.136220153,
28,0.250005182,0.136220153,
29,0.250005182,0.136220153,
30,0.250005182,0.136220153,
31,0.198460267,0.122832539,
32,0.198460267,0.122832539,
33,0.198460267,0.122832539,
34,0.198460267,0.122832539,
35,0.198460267,0.122832539,
36,0.198460267,0.122832539,
37,0.198460267,0.122832539,
38,0.198460267,0.122832539,
39,0.198460267,0.122832539,
40,0.198460267,0.122832539,
41,0.198460267,0.122832539,
42,0.198460267,0.122832539,
43,0.198460267,0.122832539,
44,0.198460267,0.122832539,
45,0.198460267,0.122832539,
46,0.198460267,0.122832539,
47,0.198460267,0.122832539,
48,0.198460267,0.122832539,
49,0.198460267,0.122832539,
50,0.198460267,0.122832539,
51,0.198460267,0.122832539,
52,0.198460267,0.122832539,
53,0.198460267,0.122832539,
54,0.198460267,0.122832539,
55,0.198460267,0.122832539,
56,0.198460267,0.122832539,
57,0.198460267,0.122832539,
58,0.198460267,0.122832539,
59,0.198460267,0.122832539,
60,0.198460267,0.122832539,
61,0.198460267,0.122832539,
62,0.198460267,0.122832539,
63,0.198460267,0.122832539,
64,0.198460267,0.122832539,
65,0.198460267,0.122832539,
66,0.198460267,0.122832539,
67,0.198460267,0.122832539,
68,0.198460267,0.122832539,
69,0.198460267,0.122832539,
70,0.198460267,0.122832539,
71,0.198460267,0.122832539,
72,0.198460267,0.122832539,
73,0.198460267,0.122832539,
74,0.198460267,0.122832539,
75,0.198460267,0.122832539,
76,0.198460267,0.122832539,
77,0.198460267,0.122832539,
78,0.186129965,0.121290132,
79,0.186129965,0.121290132,
80,0.186129965,0.121290132,
81,0.186129965,0.121290132,
82,0.186129965,0.121290132,
83,0.186129965,0.121290132,
84,0.186129965,0.121290132,
85,0.186129965,0.121290132,
86,0.186129965,0.121290132,
87,0.186129965,0.121290132,
88,0.186129965,0.121290132,
89,0.186129965,0.121290132,
90,0.186129965,0.121290132,
91,0.186129965,0.121290132,
92,0.186129965,0.121290132,
93,0.186129965,0.121290132,
94,0.186129965,0.121290132,
95,0.186129965,0.121290132,
96,0.186129965,0.121290132,
97,0.186129965,0.121290132,
98,0.186129965,0.121290132,
99,0.186129965,0.121290132,
