ER_10000_0,1641,0.080000,10000
ER_10000_1,1624,0.081000,10000
ER_10000_2,1629,0.085000,10000
ER_10000_3,1637,0.082000,10000
ER_10000_4,1642,0.073000,10000
ER_20000_0,3238,0.177000,20000
ER_20000_1,3261,0.213000,20000
ER_20000_2,3279,0.231000,20000
ER_20000_3,3275,0.191000,20000
ER_20000_4,3289,0.206000,20000
ER_2000_0,332,0.014000,2000
ER_2000_1,323,0.015000,2000
ER_2000_2,336,0.010000,2000
ER_2000_3,333,0.010000,2000
ER_2000_4,337,0.009000,2000
ER_2000_5,331,0.014000,2000
ER_2000_6,336,0.014000,2000
ER_2000_7,320,0.011000,2000
ER_2000_8,328,0.009000,2000
ER_2000_9,336,0.003000,2000
ER_30000_0,4940,0.386000,30000
ER_30000_1,4945,0.392000,30000
ER_30000_2,4927,0.390000,30000
ER_50000_0,8147,0.914000,50000
ER_50000_1,8147,0.903000,50000
ER_50000_2,8157,0.937000,50000
ER_5000_0,817,0.043000,5000
ER_5000_1,818,0.021000,5000
ER_5000_2,828,0.034000,5000
ER_5000_3,809,0.033000,5000
ER_5000_4,806,0.022000,5000
ER_5000_5,824,0.024000,5000
ER_5000_6,807,0.036000,5000
