ER_10000_0,1607,0.074000,10000
ER_10000_1,1603,0.100000,10000
ER_10000_2,1607,0.188000,10000
ER_10000_3,1616,0.089000,10000
ER_10000_4,1603,0.089000,10000
ER_20000_0,3171,0.267000,20000
ER_20000_1,3139,0.237000,20000
ER_20000_2,3215,0.274000,20000
ER_20000_3,3180,0.253000,20000
ER_20000_4,3174,0.258000,20000
ER_2000_0,320,0.017000,2000
ER_2000_1,315,0.010000,2000
ER_2000_2,319,0.012000,2000
ER_2000_3,324,0.008000,2000
ER_2000_4,328,0.013000,2000
ER_2000_5,325,0.004000,2000
ER_2000_6,315,0.014000,2000
ER_2000_7,322,0.007000,2000
ER_2000_8,316,0.012000,2000
ER_2000_9,331,0.003000,2000
ER_30000_0,4785,0.686000,30000
ER_30000_1,4786,0.504000,30000
ER_30000_2,4819,0.550000,30000
ER_50000_0,7928,1.283000,50000
ER_50000_1,7914,1.268000,50000
ER_50000_2,7923,1.084000,50000
ER_5000_0,788,0.041000,5000
ER_5000_1,802,0.035000,5000
ER_5000_2,792,0.029000,5000
ER_5000_3,805,0.030000,5000
ER_5000_4,777,0.024000,5000
ER_5000_5,805,0.036000,5000
ER_5000_6,809,0.033000,5000
