,graph,model,seed,threshold,n_covered,n,coverage,t_mean
66,CA-GrQc,GraphConv,13,0.5,1168,5242,0.22281571919114843,0.4373958110809326
67,CA-HepPh,GraphConv,13,0.5,1753,12008,0.14598600932711525,1.4615287780761719
68,CA-HepTh,GraphConv,13,0.5,1695,9877,0.17161081299989875,1.124826431274414
69,dolphins,GraphConv,13,0.5,4,34,0.11764705882352941,0.015626907348632812
70,Email-Enron,GraphConv,13,0.5,3509,36692,0.09563392565136815,9.444274663925171
71,football,GraphConv,13,0.5,34,115,0.2956521739130435,0.015666961669921875
72,jazz,GraphConv,13,0.5,40,198,0.20202020202020202,0.01562356948852539
73,karate,GraphConv,13,0.5,10,62,0.16129032258064516,0.0
74,ncstrlwg2,GraphConv,13,0.5,1491,6396,0.23311444652908067,0.5624849796295166
75,loc-gowalla_edges,GraphConv,13,0.5,7365,196591,0.037463566490836306,358.3019859790802
76,musae_git,GraphConv,13,0.5,459,37700,0.012175066312997347,12.451868534088135
77,soc-gplus,GraphConv,13,0.5,267,23628,0.011300152361604875,3.2584404945373535
78,socfb-Brandeis99,GraphConv,13,0.5,648,3898,0.16623909697280656,0.29683661460876465
79,socfb-Mich67,GraphConv,13,0.5,310,3748,0.08271077908217717,0.2499713897705078
80,socfb-nips-ego,GraphConv,13,0.5,235,2888,0.08137119113573407,0.10935258865356445
