ER_10000_0,2149,0.089000,10000
ER_10000_1,2131,0.133000,10000
ER_10000_2,2093,0.097000,10000
ER_10000_3,2150,0.097000,10000
ER_10000_4,2101,0.106000,10000
ER_20000_0,4119,0.330000,20000
ER_20000_1,4039,0.286000,20000
ER_20000_2,4144,0.300000,20000
ER_20000_3,4208,0.422000,20000
ER_20000_4,4218,0.320000,20000
ER_2000_0,425,0.010000,2000
ER_2000_1,423,0.011000,2000
ER_2000_2,425,0.014000,2000
ER_2000_3,443,0.014000,2000
ER_2000_4,436,0.019000,2000
ER_2000_5,420,0.015000,2000
ER_2000_6,413,0.013000,2000
ER_2000_7,432,0.015000,2000
ER_2000_8,430,0.007000,2000
ER_2000_9,436,0.014000,2000
ER_30000_0,6242,0.602000,30000
ER_30000_1,6132,0.622000,30000
ER_30000_2,6296,0.560000,30000
ER_50000_0,10418,1.408000,50000
ER_50000_1,10081,1.358000,50000
ER_50000_2,10304,1.654000,50000
ER_5000_0,1060,0.049000,5000
ER_5000_1,1046,0.040000,5000
ER_5000_2,1053,0.046000,5000
ER_5000_3,1072,0.039000,5000
ER_5000_4,1044,0.044000,5000
ER_5000_5,1071,0.050000,5000
ER_5000_6,1042,0.041000,5000
