ER_10000_0,1733,0.072000,10000
ER_10000_1,1697,0.080000,10000
ER_10000_2,1733,0.080000,10000
ER_10000_3,1686,0.072000,10000
ER_10000_4,1716,0.098000,10000
ER_20000_0,3501,0.225000,20000
ER_20000_1,3522,0.230000,20000
ER_20000_2,3499,0.217000,20000
ER_20000_3,3438,0.184000,20000
ER_20000_4,3499,0.209000,20000
ER_2000_0,345,0.009000,2000
ER_2000_1,352,0.008000,2000
ER_2000_2,333,0.016000,2000
ER_2000_3,354,0.006000,2000
ER_2000_4,350,0.008000,2000
ER_2000_5,342,0.019000,2000
ER_2000_6,346,0.016000,2000
ER_2000_7,330,0.014000,2000
ER_2000_8,332,0.017000,2000
ER_2000_9,351,0.008000,2000
ER_30000_0,5224,0.427000,30000
ER_30000_1,5337,0.461000,30000
ER_30000_2,5199,0.474000,30000
ER_50000_0,8700,1.650000,50000
ER_50000_1,8841,1.163000,50000
ER_50000_2,8625,1.274000,50000
ER_5000_0,839,0.040000,5000
ER_5000_1,849,0.041000,5000
ER_5000_2,871,0.044000,5000
ER_5000_3,882,0.041000,5000
ER_5000_4,847,0.040000,5000
ER_5000_5,879,0.035000,5000
ER_5000_6,878,0.060000,5000
